question,document
Can I use cheaper or free alternatives instead of OpenAI for this module?,85384a18e5
Where can I find the list of OpenAI API alternatives for the course?,85384a18e5
"If I don’t want to pay for OpenAI, will I still be able to complete the course homework?",85384a18e5
Why does the course use uv instead of pip and virtualenv for setup?,f81dea8f7e
"Do I have to use uv in this module, or can I stick with pip and virtualenv?",f81dea8f7e
What makes uv simpler or faster than the usual Python tools?,f81dea8f7e
"Can uv handle Python versions, environments, and dependencies all in one place?",f81dea8f7e
"Why did the lesson choose uv when tools like poetry, pyenv, and pip-tools already exist?",f81dea8f7e
Why does my notebook still say OPENAI_API_KEY is missing even though I added it to a .env file?,86d99bbf21
"Do I need python-dotenv for Jupyter to see my OpenAI key, and how do I load it?",86d99bbf21
Where should I call load_dotenv() before creating the OpenAI client in a notebook?,86d99bbf21
Could the issue be a wrong env var name if Jupyter can't find my API key?,86d99bbf21
What do I need to install and set up so OPENAI_API_KEY is available inside the notebook?,86d99bbf21
How do I keep my OpenAI or Groq API keys in a .env file and read them in Python?,233dabe430
What’s the easiest way to load environment variables from a .env file with python-dotenv?,233dabe430
Should I add .env to .gitignore before putting API keys like OPENAI_API_KEY in it?,233dabe430
How do I install and use python-dotenv to access keys from os.getenv()?,233dabe430
"Can I store API keys such as OPENAI_API_KEY, GROQ_API_KEY, and GEMINI_API_KEY in one .env file and load them in my code?",233dabe430
"Can I swap the homework model for a different one, or do I have to use the suggested provider?",ee43413718
"Is it okay to do the assignment with Gemini, Groq, Azure OpenAI, OpenRouter, or a local LLM instead of the recommended model?",ee43413718
"Do I need a paid API to finish the RAG homework, or can I use a free alternative?",ee43413718
"If I use another LLM provider, what parts of the code might I need to change because of different response formats or tokenizers?",ee43413718
Where can I find a list of OpenAI API alternatives or other provider options for this course?,ee43413718
How can I set up Google Gemini in the Module 1 notebook using the OpenAI-style endpoint?,0ae5c221b9
What do I need in my .env file to call Gemini from the course notebook?,0ae5c221b9
How do I create an OpenAI client for Google’s Gemini API in the RAG notebook?,0ae5c221b9
What model name should I pass when using Gemini through the OpenAI-compatible endpoint?,0ae5c221b9
Why does the notebook code need changes when switching from Responses format to chat completions with Gemini?,0ae5c221b9
"How do I install Ollama on macOS, Windows, or Linux?",1d0b969028
"After I install Ollama, what command should I run to try it with Llama 3?",1d0b969028
How can I check if the Ollama server is actually running on my machine?,1d0b969028
What do I need to install in Python to use Ollama from code?,1d0b969028
Can you show a super simple Python example for chatting with the local Ollama model?,1d0b969028
How do I fix a connection refused error when I try prompting my Ollama RAG setup?,c6fc2d4d11
What should I do if Ollama stops responding in the homework notebook?,c6fc2d4d11
Do I need to restart the Ollama server after rerunning the notebook cell?,c6fc2d4d11
What command can I use to bring Ollama back up if the server is down?,c6fc2d4d11
"Why am I getting a refused connection error in the RAG homework, and how do I recover from it?",c6fc2d4d11
Why does `tiktoken.encode()` give me a smaller token count than the OpenAI API for the same prompt?,bf0403d21b
Where do the extra tokens come from in a `chat.completions.create()` request?,bf0403d21b
How many hidden tokens does each chat message add in OpenAI's chat format?,bf0403d21b
Why can OpenAI report a few more tokens even when my prompt text looks identical?,bf0403d21b
"Do whitespace, newlines, or weird Unicode characters affect the token count in OpenAI chat requests?",bf0403d21b
How can I keep my API key loaded automatically in every terminal without typing export again and again?,8b2f5e9d04
Is there a tool like direnv that works with both .env and .envrc files and is easier to use across different shells?,8b2f5e9d04
What should I put in my project so the OpenAI key gets picked up when I cd into the folder?,8b2f5e9d04
"If I’m using GitHub Codespaces, should I still store secrets in .env files or use something else?",8b2f5e9d04
"For a Python script, what’s the simplest way to load variables from a .env file at startup?",8b2f5e9d04
How do I decide the best field weights in minsearch without just guessing?,87d4ea4e08
Is there a proper way to tune search field weights instead of trial and error?,87d4ea4e08
What’s the recommended method for testing different weights in a search engine like minsearch?,87d4ea4e08
Should I build a labeled dataset before choosing field weights for retrieval?,87d4ea4e08
Which metrics should I check when comparing different field weight settings?,87d4ea4e08
What’s the best way to clean documents before using them in RAG?,649c280e6d
Which kinds of noise should I remove from my files for retrieval?,649c280e6d
"Do I need to keep things like titles, page numbers, or section names when preparing RAG data?",649c280e6d
"Is JSON required for storing documents before chunking, or can I use something else?",649c280e6d
How should I chunk and organize docs so retrieval works better instead of just making the text shorter?,649c280e6d
"When I run uv in GitHub Codespaces and see “Failed to hardlink files,” should I worry or is it just a warning?",acf8fa5356
Does uv still install the package if it can’t hardlink from the cache in Codespaces?,acf8fa5356
How can I stop the hardlink warning from uv for just my current shell session?,acf8fa5356
What’s the easiest way to make UV_LINK_MODE=copy stay set every time I open a terminal?,acf8fa5356
"Why does uv use copying instead of hardlinking in Codespaces, and is that normal?",acf8fa5356
"Why am I getting “dotenv is not recognized” when I run my script, and what package do I need to install?",0bed1f48da
What do I install to use load_dotenv in Python for my RAG project?,0bed1f48da
"Is there a missing dependency if dotenv isn’t found, and how do I add it with uv?",0bed1f48da
I want to read env files in Python—what should I use instead of plain dotenv?,0bed1f48da
"After installing python-dotenv, how do I import it and load my .env file?",0bed1f48da
Can I do this course on my own laptop instead of using Codespaces?,aa310de435
"Is Codespaces required, or can I set everything up locally?",aa310de435
"If I skip Codespaces and run it on my machine, what do I need to install?",aa310de435
Is it okay to follow the module with a local setup as long as it works?,aa310de435
"If I use my own environment, do I need to keep track of the setup somehow?",aa310de435
"If I keep working in Codespaces but never commit, does my code stay somewhere safe?",610ccb23c0
Where exactly is my uncommitted work stored in GitHub Codespaces?,610ccb23c0
Can my code disappear from Codespaces if the VM gets stopped or deleted?,610ccb23c0
Do I still need to commit often even though Codespaces saves my files in the Linux VM?,610ccb23c0
What’s the risk of not pushing or committing my changes while using Codespaces?,610ccb23c0
Why does WSL2 say the model needs more memory than is available when my PC has enough RAM?,f3dd94f323
How can I make WSL2 use more RAM for running a model in my Windows machine?,f3dd94f323
Where do I put the .wslconfig file to change WSL2 memory limits?,f3dd94f323
What should I write inside .wslconfig if I want to give WSL2 8GB of RAM?,f3dd94f323
How do I restart WSL2 and check that the new memory setting actually took effect?,f3dd94f323
"My GitHub Codespace is stuck on ""Finishing up"" and won’t reconnect — what’s the usual fix?",830f3d2018
"If my Codespace won’t open in VS Code desktop, what should I try next?",830f3d2018
"When a Codespace acts broken, is deleting it and making a new one the last resort?",830f3d2018
Why did my setup or installed tools disappear after a rebuild or new Codespace?,830f3d2018
Do I need to commit my work often in Codespaces so I don’t lose uncommitted changes?,830f3d2018
"Can I swap OpenAI for another LLM service in the RAG project, or does the course require OpenAI only?",c6ff9083c0
"If my provider is blocked in my country, what are the easiest alternatives I can plug into the course code?",c6ff9083c0
"Do I need to rewrite the code if I use Groq, DeepSeek, Gemini, or Mistral instead of OpenAI?",c6ff9083c0
Is it possible to run a local model with Ollama or vLLM and still follow the assignments without using an external API?,c6ff9083c0
Where can I find a list of good OpenAI-compatible providers or local model tools recommended for the course?,c6ff9083c0
"In agentic RAG, what exactly counts as a tool or function, and what kinds of tasks would it be used for?",c296ea5a21
"Should I care about the difference between tools and functions in this module, or are they basically the same thing?",c296ea5a21
"When does the model decide to use a tool in agentic RAG, and how is that different from normal RAG retrieval?",c296ea5a21
"Can a tool/function in this setup be something like a database query or API call, not just document search?",c296ea5a21
"What is the main reason agentic RAG lets the model call tools, instead of always doing retrieval as a fixed first step?",c296ea5a21
Which free LLMs can I use if I need tool calling support for development?,0d74a3616f
Does Groq have any models that support tools or function calls without paying?,0d74a3616f
"Besides OpenAI, what other providers support tool use in agent workflows?",0d74a3616f
"If I switch from OpenAI to Groq or Gemini, will my tool-calling code still work as-is?",0d74a3616f
Are there any local models in Ollama that can do function calling or tool use?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I try the Responses API with a model that isn’t from OpenAI?,9e7b3f0c25
"Is `client.responses.create(...)` only meant for OpenAI models, or can I use it with Mistral, Groq, Gemini, and similar providers too?",9e7b3f0c25
What should I use instead of `response.output` if I’m calling a non-OpenAI model through the OpenAI client?,9e7b3f0c25
How do I change my code to use chat completions instead of the newer Responses API for other providers?,9e7b3f0c25
"For the homework or project, is it fine to stick with `chat.completions` if that works better with my model/provider?",9e7b3f0c25
Why am I getting the Azure OpenAI 400 error that says tools[0].function is missing?,b9c7c6bb34
How should I define the weather tool JSON so Azure OpenAI accepts it?,b9c7c6bb34
What does the get_weather_tool object need to look like for function calling to work?,b9c7c6bb34
Is there a specific format required for the weather tool parameters in Azure OpenAI?,b9c7c6bb34
Can you show the correct get_weather tool configuration to fix this missing function parameter error?,b9c7c6bb34
"Why do I get a 404 error in toyaikit when I try Groq or another non-OpenAI provider, and what should I use instead?",0224d980b3
How can I make toyaikit work with Groq using the chat completions API rather than the OpenAI Responses endpoint?,0224d980b3
"Is there a way to use Anthropic models with toyaikit instead of OpenAI, and which runner/client pair should I pick?",0224d980b3
"What’s the difference between `runner.loop(prompt=...)` and `runner.run()` in toyaikit, and when should I use each one?",0224d980b3
"If Groq says `UnknownModelWarning` or I still get a 404 with Anthropic, is that a real failure or just a model-id / pricing issue?",0224d980b3
Where do I actually find the Module 1 homework questions for this course?,53f15299b6
"Is the homework only on the course platform, or is there a GitHub page with the instructions too?",53f15299b6
Can you point me to the 2026 Module 1 homework materials and the homework.md file?,53f15299b6
Where should I look for the homework links if I’m trying to start Module 1?,53f15299b6
"Do the homework instructions live in the repo somewhere, or are they only in the management platform?",53f15299b6
Why does my filtered query keep returning an empty list in homework Q3?,83da208a64
Could this be caused by indexing the data the wrong way in Module 1 homework?,83da208a64
"Do I need to set up the index before loading the documents, or can I add it later?",83da208a64
My filters work but the query still gives no results — what should I check first?,83da208a64
What’s the usual fix when the homework search returns nothing after filtering?,83da208a64
"Why do I get a 402 error from OpenRouter when I call responses.create, and why does it happen before the model even starts?",cfb07a27d5
What should I change in responses.create to stop the OpenRouter 402 issue in Module 1 homework?,cfb07a27d5
How do I set max_output_tokens in rag_helper.py so my homework request doesn’t get rejected?,cfb07a27d5
"In ToyAIKit Q6, where do I pass max_output_tokens to OpenAIClient?",cfb07a27d5
"If I still get the 402 error after limiting output tokens, what should I check in my .env and OpenRouter setup?",cfb07a27d5
"In the Module 1 homework, what does it actually mean to point RAG at the chunk index instead of the original docs?",b4300adeb1
"When building the search index for RAG, should I fit it on `documents` or on the split `chunks`?",b4300adeb1
Why does the homework say to use the chunked records for retrieval and not the full documents?,b4300adeb1
"After splitting the data, how does the RAG pipeline use those chunks in the prompt?",b4300adeb1
What is the benefit of searching over chunks rather than sending whole documents to the model?,b4300adeb1
"Do the homework answers have to match the multiple-choice options exactly, or is the closest one okay?",5e4ca64cb5
"If my numeric result is a little off from every option, should I still pick the nearest answer?",5e4ca64cb5
What usually causes small differences between my homework output and the listed choices?,5e4ca64cb5
My answer is pretty far from the options — what should I check first?,5e4ca64cb5
Where can I find the general homework instructions and rules for picking answers?,5e4ca64cb5
Where exactly should I check first when the homework wording is confusing: the platform or the GitHub instructions?,7d3a2e3505
"For the 2026 Module 1 homework, which GitHub links do I need to follow?",7d3a2e3505
Why does the homework sometimes seem different from the lesson if it's based on the same topic?,7d3a2e3505
"If I'm still stuck after reading the instructions, what's the best way to ask for help in Slack?",7d3a2e3505
Should I paste a screenshot or the actual command output when I ask about a homework issue?,7d3a2e3505
How should I count tokens for the Module 1 homework if I'm using a model provider that's not OpenAI?,fe8fed31e6
"Where can I find the token usage in the API response for homework answers, like input or prompt tokens?",fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Hugging Face, or Groq in this homework?",fe8fed31e6
What should I do if my LLM provider doesn't include token usage in the response object?,fe8fed31e6
"For the multiple-choice question in Module 1, what if my token count is not exact or I can only estimate it?",fe8fed31e6
"Why is my homework repo link getting rejected with a 500 or other non-200, and what should I change so the checker can open it?",bcdb8740ce
"Could the problem be that my GitHub repo is private, and how do I make the submission URL reachable?",bcdb8740ce
Do I need to remove the .git suffix from the repo URL before submitting it?,bcdb8740ce
How can I quickly check if the homework link is publicly accessible the way the grader sees it?,bcdb8740ce
What are the usual reasons a submitted repository URL fails the GET request used by the homework checker?,bcdb8740ce
"What exactly are embeddings in vector search, and why do we turn text or other non-numerical data into numbers?",69430a79a8
How do embeddings keep the meaning or context of the original data after converting it into numerical values?,69430a79a8
"If two pieces of text are similar, should their embeddings also be similar, and how does that help in practice?",69430a79a8
Why do people use the distance between embedding values to measure semantic similarity?,69430a79a8
"What’s the connection between embeddings, vector space models, and dimensionality reduction?",69430a79a8
How do I get rid of the warning about multi-qa-mpnet-base-dot-v1 being made on sentence-transformers v3.0.0 beta?,aa3f597424
Is there a way to suppress the sentence-transformers version warning when loading multi-qa-mpnet-base-dot-v1?,aa3f597424
What should I install to stop the warning from that multi-qa-mpnet-base-dot-v1 model?,aa3f597424
"Why am I seeing the message about sentence-transformers v3.0.0 beta, and how do I fix it?",aa3f597424
Do I need a newer sentence-transformers version to avoid the warning for multi-qa-mpnet-base-dot-v1?,aa3f597424
"Why did the lesson just use dot product for similarity, while the homework tells us to normalize first?",92cd22cada
"Are the embeddings in the lesson already unit vectors, so dot product equals cosine similarity?",92cd22cada
"With TF-IDF plus SVD in the homework, why doesn’t dot product work as cosine similarity out of the box?",92cd22cada
Do we need to normalize vectors manually when using classic embeddings instead of model embeddings?,92cd22cada
What’s the difference between using .dot(...) on normalized embeddings and using it on raw vectors?,92cd22cada
"For vector search in this module, do I need to embed just the answer text, just the question, or both together?",5c4a8d2e60
"Which embedding setup usually works best here: question only, answer only, or question plus answer?",5c4a8d2e60
"If I index only the answer text, will retrieval still work well for user questions?",5c4a8d2e60
Why would embedding the question alone be a good idea if the actual query is the user's question?,5c4a8d2e60
How should I decide between the different embedding choices for my dataset?,5c4a8d2e60
What does cosine similarity actually measure between two vectors?,db78580409
How do you compute cosine similarity for text documents or embeddings?,db78580409
Why is cosine similarity commonly used in vector search and text analysis?,db78580409
"What does it mean when cosine similarity is 1, 0, or -1?",db78580409
Can cosine similarity be used with word counts or TF-IDF vectors?,db78580409
Why does cosine similarity end up being just a dot product once the embeddings are normalized?,95feb4e75b
"If all vectors have unit length, why can’t we ignore cosine similarity and use matrix multiplication directly?",95feb4e75b
How does normalizing the query and document vectors make cosine similarity easier to compute?,95feb4e75b
Why is matrix multiplication enough to compare a query against all document embeddings in vector search?,95feb4e75b
What changes in cosine similarity when the vector magnitudes are removed by normalization?,95feb4e75b
"For Module 2, do I have to create a whole new GitHub repository, or is a fresh codespace enough?",1e829a8c6f
Why does the course recommend using a separate codespace for the vector search module instead of the one from Module 1?,1e829a8c6f
"If I open a new codespace for Module 2, will it still come from my existing repo or do I need to copy the project somewhere else first?",1e829a8c6f
What should I do with my Module 2 work if I might delete the codespace later?,1e829a8c6f
"Is it okay to keep the heavy vector search setup inside my old Module 1 codespace, or is there a better way to keep things clean?",1e829a8c6f
Why is download.py stuck at 0% when it tries to get model.onnx from HuggingFace?,29b69fbe0b
Is there a way to manually grab model.onnx if the downloader never moves past 0%?,29b69fbe0b
What should I do when the HuggingFace CDN connection is so slow that the model download seems frozen?,29b69fbe0b
"If I save model.onnx myself into the right folder, will download.py still try to fetch it again?",29b69fbe0b
Where exactly do I need to place model.onnx so the script can continue without re-downloading it?,29b69fbe0b
"Why does the vector search code using `X.dot(v_query)` not exactly match the for-loop version, even though it’s doing the same dot product?",e889793af9
"I compared the matrix version and the loop version with `np.allclose`, and it still says they’re different — is that a bug or just floating-point precision?",e889793af9
Why do two ways of computing vector search scores give tiny differences in the last decimals?,e889793af9
"If the dot product is the same, why does BLAS output slightly different values than a Python loop?",e889793af9
What’s the right way to check that the matrix-based vector search and the loop-based one are equivalent without expecting exact equality?,e889793af9
"For Module 2 homework Q2, why does my cosine similarity end up not matching any multiple-choice answer?",eaa17a9dc6
"Am I supposed to use sentence-transformers for the homework embeddings, or is there another model I should be using?",eaa17a9dc6
"Could the issue be that I'm embedding the wrong field from the document, like the filename instead of the content text?",eaa17a9dc6
"In Q2, do I need to compare my page vector with the Q1 query vector, and are the vectors already normalized?",eaa17a9dc6
"If my cosine similarity is a little bit off from the listed choices, should I just choose the nearest one?",eaa17a9dc6
How do I set up Gemini and the other API keys for Kestra so the flows can use them?,3860e5fe8b
Why does Kestra need both the normal Gemini key and a SECRET_ version of it?,3860e5fe8b
What’s the right way to export OpenAI and Tavily secrets before launching Kestra?,3860e5fe8b
Do I need to restart the Docker compose stack after adding the API variables?,3860e5fe8b
"In a Kestra flow, should I use SECRET_GEMINI_API_KEY directly or call it some other way?",3860e5fe8b
"Why does Kestra Copilot keep saying it can only help with creating flows, and what am I missing?",04440cab11
"I set up Kestra from the course, but the AI assistant refuses to answer anything — which environment variable should I check first?",04440cab11
Do I need to use `GEMINI_API_KEY` or `SECRET_GEMINI_API_KEY` for the Copilot in Kestra OSS?,04440cab11
I exported the Gemini key but the Copilot still acts broken — what are the usual causes and how do I verify them?,04440cab11
"Could the Copilot refusal be a quota problem from Gemini, and if so what should I do when I get a 429 error?",04440cab11
Why does Kestra say my Gemini key is invalid even though I already set SECRET_GEMINI_API_KEY?,c8ca21af33
"Could a base64 issue cause my secret to break in Kestra, and how should I export it correctly?",c8ca21af33
"Do I need to restart Kestra after changing API key environment variables, or is exporting enough?",c8ca21af33
"When I use a secret in a flow, should I write SECRET_GEMINI_API_KEY or just GEMINI_API_KEY in the template?",c8ca21af33
What's the best way to load Gemini keys into Kestra with docker compose so the flow actually sees them?,c8ca21af33
Why do we need an orchestrator like Kestra instead of just running everything in a notebook?,193612db63
What problems does Kestra solve in an AI workflow that a simple script or notebook doesn't handle well?,193612db63
"In this module, why is Kestra being used for more than just workflow automation?",193612db63
How does Kestra fit into production-style AI pipelines compared to notebook experiments?,193612db63
"Can I switch between OpenAI, Gemini, or Anthropic in Kestra without rewriting the whole flow?",193612db63
Why am I getting `JSONDecodeError: Expecting value` when I try to parse the LLM output as JSON?,a3c7e1b4f9
How do I stop the model from wrapping my JSON in a code block or adding extra text around it?,a3c7e1b4f9
What’s the easiest way to make OpenAI return valid JSON for the ground-truth questions task?,a3c7e1b4f9
Should I change my prompt so the model outputs only the `questions` field and nothing else?,a3c7e1b4f9
Is there a provider setting like `response_format` or `application/json` I can use instead of fixing the JSON after the fact?,a3c7e1b4f9
Why does my Jupyter kernel keep crashing when I try to embed the ground-truth set in the eval notebook?,b8f2d6a30c
What can I do if running the embedding model in Codespaces runs out of memory on a small machine?,b8f2d6a30c
"Is there a smaller embedding model I can use for the evaluation task, and will that affect my results?",b8f2d6a30c
"Can I move the embedding part out of the notebook so it doesn’t eat RAM, and how would that help?",b8f2d6a30c
What’s the best way to handle the ground-truth embeddings if I only have a low-RAM laptop or the default Codespaces setup?,b8f2d6a30c
Why do I still hit Gemini rate limits even after adding time.sleep(4) in my ground-truth generation loop?,c1e9f4b820
How can I avoid blowing through the daily quota when generating a long ground-truth dataset with Gemini?,c1e9f4b820
Is there a cheaper or easier model/provider I can use instead of Gemini for embedding or generating the full dataset?,c1e9f4b820
What should I do if my thread-pool calls are getting rate-limited — just reduce the number of workers?,c1e9f4b820
How can I save progress so I can continue ground-truth generation later after a rate limit error?,c1e9f4b820
How do I fix the WinError 126 fbgemm.dll missing error on Windows when importing torch?,15e931476c
Is installing Visual C++ Redistributable enough to solve the Python torch fbgemm.dll module could not be found issue?,15e931476c
Do I need Visual Studio or just Visual Studio Code to get rid of the fbgemm.dll dependency error on Windows?,15e931476c
"Why does torch fail with ""The specified module could not be found"" for fbgemm.dll on my Windows machine?",15e931476c
What are the usual steps to resolve the PyTorch fbgemm.dll load error in Windows Python?,15e931476c
"Why do I get ""could not translate host name postgres to address"" when I run prep.py?",4b65d5542d
How can I fix psycopg2 OperationalError about postgres not being found?,4b65d5542d
What should POSTGRES_HOST be set to if the database host name can't be resolved?,4b65d5542d
I'm seeing a No such host is known error from python prep.py — what env change do I need?,4b65d5542d
Is the fix for the postgres host error just changing the .env file to localhost?,4b65d5542d
How can I stop Pandas from cutting off long text in a column and show the full content?,641aedbbf5
What setting do I need in Pandas to see the whole Explanation text in the offline-rag-evaluation notebook?,641aedbbf5
"Why does Pandas only show part of my column text, and how do I make it display everything?",641aedbbf5
Is there a way to make the judge LLM explanation column fully visible instead of being shortened with ...?,641aedbbf5
What command should I use so Pandas doesn’t truncate long strings in DataFrame columns?,641aedbbf5
How can I normalize vectors inside a Pandas DataFrame column?,5039707c1a
What’s the easiest way to normalize a Pandas Series of vectors?,5039707c1a
How do I create a new column with normalized vectors from an existing one?,5039707c1a
Can I use apply() to normalize each vector in a DataFrame column?,5039707c1a
